city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Trindade,Trindade,-16.65,-49.5,Brazil,BR,BRA,Goiás,,97521.0,1076815881
Arapongas,Arapongas,-23.41,-51.43,Brazil,BR,BRA,Paraná,,97512.0,1076623771
Araguari,Araguari,-18.64,-48.2,Brazil,BR,BRA,Minas Gerais,,96565.0,1076402865
Corumbá,Corumba,-19.016,-57.65,Brazil,BR,BRA,Mato Grosso do Sul,,96520.0,1076131775
Erechim,Erechim,-27.63,-52.27,Brazil,BR,BRA,Rio Grande do Sul,,96087.0,1076359548
Juazeiro,Juazeiro,-9.42,-40.5,Brazil,BR,BRA,Bahia,,95132.0,1076632040
Ponta Porã,Ponta Pora,-22.53,-55.73,Brazil,BR,BRA,Mato Grosso do Sul,,94331.0,1076647935
Bento Gonçalves,Bento Goncalves,-29.1695,-51.52,Brazil,BR,BRA,Rio Grande do Sul,,94271.0,1076492877
Tatuí,Tatui,-23.35,-47.86,Brazil,BR,BRA,São Paulo,,93580.0,1076587962
Patos,Patos,-7.0196,-37.29,Brazil,BR,BRA,Paraíba,,92575.0,1076232522
Itaituba,Itaituba,-4.2586,-55.925,Brazil,BR,BRA,Pará,,92308.0,1076849673
Tubarão,Tubarao,-28.48,-49.02,Brazil,BR,BRA,Santa Catarina,,92275.0,1076663243
Muriaé,Muriae,-21.13,-42.39,Brazil,BR,BRA,Minas Gerais,,91173.0,1076003733
Itanhaém,Itanhaem,-24.18,-46.8,Brazil,BR,BRA,São Paulo,,90385.0,1076274068
Santana do Livramento,Santana do Livramento,-30.88,-55.53,Brazil,BR,BRA,Rio Grande do Sul,,89694.0,1076271841
Nova Lima,Nova Lima,-19.98,-43.85,Brazil,BR,BRA,Minas Gerais,,88399.0,1076876220
Brusque,Brusque,-27.13,-48.93,Brazil,BR,BRA,Santa Catarina,,88284.0,1076418225
Assis,Assis,-22.6596,-50.42,Brazil,BR,BRA,São Paulo,,87471.0,1076782502
Paulo Afonso,Paulo Afonso,-9.3307,-38.2657,Brazil,BR,BRA,Bahia,,85350.0,1076084498
Ituiutaba,Ituiutaba,-18.97,-49.46,Brazil,BR,BRA,Minas Gerais,,85345.0,1076873111
Cáceres,Caceres,-16.05,-57.51,Brazil,BR,BRA,Mato Grosso,,85274.0,1076422654
Santana,Santana,-0.0396,-51.18,Brazil,BR,BRA,Amapá,,83927.0,1076974952
Codó,Codo,-4.4796,-43.88,Brazil,BR,BRA,Maranhão,,83288.0,1076537068
Araxá,Araxa,-19.5796,-46.95,Brazil,BR,BRA,Minas Gerais,,82595.0,1076259402
Lavras,Lavras,-21.2496,-45.01,Brazil,BR,BRA,Minas Gerais,,81472.0,1076751259
Avaré,Avare,-23.11,-48.93,Brazil,BR,BRA,São Paulo,,81285.0,1076118860
Formosa,Formosa,-15.5395,-47.34,Brazil,BR,BRA,Goiás,,81232.0,1076601172
Itumbiara,Itumbiara,-18.3996,-49.21,Brazil,BR,BRA,Goiás,,79582.0,1076693747
Abaetetuba,Abaetetuba,-1.7245,-48.8849,Brazil,BR,BRA,Pará,,79420.0,1076974632
Três Lagoas,Tres Lagoas,-20.79,-51.72,Brazil,BR,BRA,Mato Grosso do Sul,,78712.0,1076281782
São João del Rei,Sao Joao del Rei,-21.13,-44.25,Brazil,BR,BRA,Minas Gerais,,78592.0,1076559413
Itaúna,Itauna,-20.06,-44.57,Brazil,BR,BRA,Minas Gerais,,77400.0,1076321811
São Mateus,Sao Mateus,-18.7296,-39.86,Brazil,BR,BRA,Espírito Santo,,77117.0,1076829621
Jataí,Jatai,-17.8796,-51.75,Brazil,BR,BRA,Goiás,,76547.0,1076908960
São João da Boa Vista,Sao Joao da Boa Vista,-21.98,-46.79,Brazil,BR,BRA,São Paulo,,76540.0,1076459561
